  14  27
   8  23.800 -10.93 -11.71 -12.11 -12.04 -13.03 -12.80 -11.74 -11.58 -11.48 -11.10 -11.27 -11.69 -11.45  -9.46 -11.68 -11.64 -10.88 -12.23 -11.34 -12.19 -11.50 -11.59 -12.89 -11.84 -11.64 -12.03 -11.41
   9  23.800 -12.38 -12.46 -12.96 -13.11 -13.33 -13.42 -12.81 -12.53 -12.53 -13.72 -13.78 -13.83 -12.95 -12.39 -13.09 -12.89 -13.04 -13.63 -12.82 -12.68 -12.17 -12.01 -12.95 -12.74 -13.45 -13.38 -13.68
  10  36.500   1.81   0.15  -0.44   0.24   0.92   0.28  -1.38   1.14   0.87   1.25  -0.67  -1.89   0.44   1.50  -0.55   0.19  -1.02  -2.52  -1.80  -1.08  -0.45   0.09  -1.95   2.53   3.65   3.18   3.69
  11  36.500   1.70   1.16   0.48   1.06   0.76   0.53  -0.09   0.70  -0.07  -1.28  -0.19  -1.39   0.18  -0.13  -0.67  -0.11  -1.10  -2.70  -2.27  -0.17   0.16   0.19  -0.81   0.93   0.88   0.67   0.72
  12  89.000  -3.33  -3.96  -4.66  -5.00  -4.61  -5.54  -6.43  -4.85  -4.19  -5.57  -5.83  -5.36  -4.89  -4.96  -6.25  -7.09  -6.35  -7.25  -6.78  -8.77  -7.18  -5.37  -5.66  -3.77  -2.83  -2.87  -2.75
  13  89.000  -6.59  -6.89  -6.96  -7.42  -6.48  -6.86  -7.21  -5.47  -6.56  -9.35  -8.53  -7.26  -7.27  -7.75  -8.40  -7.95  -7.96  -8.20  -8.00  -7.78  -6.95  -7.90  -8.92  -8.05  -7.05  -7.41  -8.01
   0   6.925 170.50 170.51 170.53 170.55 170.53 170.54 170.58 170.59 170.55 170.52 170.51 170.53 170.55 170.59 170.60 170.59 170.57 170.55 170.52 170.47 170.47 170.47 170.46 170.44 170.44 170.44 170.43
   1   6.925  83.05  83.06  83.10  83.12  83.13  83.15  83.13  83.10  83.05  83.03  82.99  83.00  83.00  83.02  83.01  82.98  82.99  83.00  82.96  82.92  82.93  82.95  82.93  82.91  82.90  82.88  82.87
   2   7.300 170.93 170.95 170.96 170.98 170.97 170.98 171.01 171.03 170.98 170.95 170.94 170.96 170.99 171.01 171.03 171.02 171.00 170.98 170.95 170.90 170.91 170.90 170.89 170.88 170.87 170.87 170.87
   3   7.300  83.58  83.59  83.62  83.65  83.66  83.68  83.66  83.64  83.58  83.56  83.51  83.53  83.53  83.54  83.53  83.51  83.52  83.52  83.48  83.45  83.46  83.48  83.46  83.43  83.42  83.40  83.39
   4  10.650 175.16 175.17 175.19 175.22 175.21 175.24 175.27 175.27 175.22 175.20 175.16 175.17 175.21 175.21 175.23 175.24 175.20 175.19 175.16 175.12 175.12 175.16 175.15 175.11 175.08 175.09 175.07
   5  10.650  88.98  89.00  89.05  89.07  89.10  89.11  89.10  89.09  89.02  88.97  88.91  88.94  88.93  88.91  88.93  88.91  88.92  88.92  88.86  88.86  88.86  88.89  88.89  88.85  88.81  88.78  88.76
   6  18.700 198.85 198.91 198.95 198.99 199.07 199.09 199.16 199.16 199.13 199.04 198.93 198.92 198.89 198.85 198.99 198.98 198.95 198.90 198.74 198.79 198.78 198.91 198.91 198.84 198.71 198.72 198.66
   7  18.700 125.68 125.75 125.90 125.72 125.79 125.77 126.03 125.82 125.94 125.82 125.62 125.64 125.54 125.40 125.76 125.63 125.66 125.59 125.40 125.42 125.39 125.73 125.65 125.51 125.24 125.28 125.07
