  24  30
   4  55.500   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98
   5  57.290   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04   1.04
   6  59.400   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03
   7 150.000   0.80   0.81   0.80   0.81   0.82   0.82   0.83   0.82   0.80   0.82   0.80   0.81   0.81   0.81   0.81   0.79   0.80   0.81   0.81   0.80   0.82   0.81   0.79   0.82   0.80   0.81   0.80   0.82   0.82   0.81
   8 183.310   0.85   0.84   0.84   0.84   0.83   0.83   0.83   0.83   0.83   0.84   0.83   0.84   0.84   0.84   0.84   0.85   0.84   0.84   0.84   0.83   0.83   0.82   0.83   0.84   0.84   0.84   0.84   0.84   0.84   0.84
   9 183.310   0.88   0.88   0.88   0.88   0.87   0.87   0.87   0.87   0.88   0.88   0.87   0.88   0.88   0.88   0.88   0.88   0.88   0.88   0.88   0.87   0.87   0.87   0.88   0.88   0.88   0.88   0.88   0.88   0.88   0.88
  10 183.310   0.92   0.92   0.92   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.92   0.91   0.91   0.91   0.90   0.90   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91   0.91
  11  19.350   0.95   0.95   0.95   0.95   0.94   0.94   0.94   0.94   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.94   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95   0.95
  12  19.350   0.99   0.98   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.98   0.98   0.97   0.97   0.97   0.97   0.98   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.97   0.96
  13  22.235   1.03   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.01   1.01   1.01   1.02   1.01   1.02   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01
  14  37.000   0.88   0.89   0.89   0.89   0.88   0.89   0.88   0.89   0.89   0.89   0.89   0.89   0.89   0.89   0.88   0.89   0.89   0.89   0.89   0.88   0.88   0.89   0.89   0.89   0.89   0.89   0.90   0.89   0.89   0.90
  15  37.000   0.89   0.89   0.89   0.89   0.89   0.89   0.88   0.89   0.89   0.89   0.90   0.90   0.90   0.90   0.90   0.89   0.89   0.89   0.89   0.88   0.89   0.89   0.89   0.89   0.89   0.89   0.90   0.89   0.89   0.89
  16  91.655   1.16   1.16   1.16   1.16   1.16   1.16   1.16   1.16   1.16   1.17   1.17   1.17   1.17   1.16   1.16   1.16   1.16   1.16   1.16   1.16   1.16   1.17   1.17   1.16   1.17   1.17   1.17   1.16   1.16   1.15
  17  91.655   1.08   1.08   1.09   1.09   1.08   1.08   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09   1.09
  18  63.283   0.24   0.24   0.25   0.25   0.25   0.25   0.26   0.26   0.26   0.26   0.26   0.25   0.25   0.25   0.25   0.24   0.24   0.24   0.24   0.24   0.24   0.24   0.23   0.23   0.23   0.23   0.23   0.22   0.23   0.23
  19  60.793   0.47   0.47   0.47   0.47   0.46   0.45   0.45   0.44   0.44   0.43   0.43   0.42   0.42   0.41   0.40   0.40   0.40   0.40   0.40   0.41   0.41   0.41   0.42   0.42   0.42   0.42   0.42   0.43   0.43   0.43
  20  60.793   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.60   0.60   0.60   0.60   0.60   0.60   0.59   0.60   0.60   0.60   0.60   0.60   0.59   0.59   0.59   0.59   0.59   0.58   0.59   0.58   0.58
  21  60.793   0.98   0.98   0.98   0.98   0.99   0.99   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.97   0.97   0.98   0.97   0.97   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.98   0.97   0.97   0.98   0.97
  22  60.793   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03   1.03
  23  60.793   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   0.99   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00   1.00
   0  50.300  11.99  13.09  13.27  14.31  14.14  14.44  14.26  12.80  14.15  12.88  12.84  11.82  12.98  13.91  13.54  14.21  13.44  13.39  12.34  14.60  14.55  13.63  12.94  13.24  13.22  12.56  13.57  13.27  13.13  13.35
   1  52.800  -1.76  -1.52  -1.27  -0.33   0.15   0.20  -0.14   0.06  -0.61  -0.25  -0.09   0.32   0.87   1.20   1.24   1.59   1.93   1.36   1.45   0.94   0.63   0.36  -0.60  -1.25  -1.15  -0.94  -1.58  -1.12  -0.71   0.34
   2  53.596  -3.07  -2.83  -2.67  -2.45  -2.27  -2.31  -2.12  -1.25  -1.71  -1.83  -1.90  -1.81  -1.69  -1.69  -0.84  -0.91  -1.13  -1.02  -0.79  -0.94  -1.09  -1.27  -1.73  -1.81  -1.79  -1.46  -1.19  -1.13  -0.57  -0.57
   3  54.400  -1.68  -1.51  -1.79  -2.06  -2.32  -2.25  -2.11  -1.57  -1.58  -1.90  -1.40  -1.72  -0.98  -1.44  -1.16  -1.04  -1.77  -1.40  -1.46  -1.67  -1.15  -1.27  -0.96  -0.88  -0.50   0.01   0.64   0.82   1.63   2.02
   4  55.500   6.75   6.61   6.58   6.57   6.49   6.49   6.57   6.48   6.42   6.40   6.32   6.21   6.30   6.26   6.23   6.18   6.12   6.07   5.96   5.80   5.73   5.59   5.45   5.48   5.51   5.46   5.53   5.61   5.58   5.72
   5  57.290  -4.32  -4.40  -4.53  -4.68  -4.70  -4.71  -4.77  -4.88  -4.90  -4.89  -4.81  -4.85  -4.83  -4.77  -4.70  -4.75  -4.50  -4.47  -4.56  -4.49  -4.62  -4.54  -4.49  -4.37  -4.29  -4.11  -3.99  -4.04  -3.99  -4.01
   6  59.400  -1.91  -2.02  -2.31  -2.26  -2.41  -2.35  -2.36  -2.55  -2.64  -2.86  -3.01  -3.04  -3.23  -3.41  -3.64  -3.81  -3.68  -3.55  -3.73  -3.60  -3.54  -3.61  -3.54  -3.46  -3.48  -3.26  -3.17  -2.97  -2.95  -2.85
   7 150.000 148.14 146.26 147.61 145.99 143.70 143.59 141.52 143.41 146.10 143.40 146.72 145.54 144.64 144.69 145.57 148.61 145.84 145.34 145.70 147.38 143.54 144.57 147.55 144.02 146.35 145.00 146.35 144.29 143.38 146.01
   8 183.310  44.19  46.03  47.63  46.83  48.71  48.73  49.12  49.42  50.16  48.26  48.65  47.96  47.44  46.24  46.00  45.18  47.53  45.90  46.37  49.74  50.02  51.64  49.31  47.65  47.99  45.89  47.08  48.01  47.87  47.86
   9 183.310  32.63  33.71  34.00  33.64  35.15  35.22  35.52  35.79  34.92  35.01  35.36  34.39  33.14  32.44  32.94  33.00  33.68  33.32  34.04  36.48  36.76  35.43  33.78  33.36  33.53  32.64  32.87  32.98  33.48  33.77
  10 183.310  22.78  23.01  23.23  24.21  25.01  25.22  25.63  24.91  25.39  24.72  24.74  25.29  25.03  24.66  24.72  23.29  24.19  24.13  24.77  25.87  26.47  25.42  24.43  23.84  23.37  23.43  23.53  23.87  23.74  24.22
  11  19.350   2.74   2.70   2.56   2.63   3.02   3.01   3.08   2.99   2.47   2.55   2.55   2.73   2.58   2.78   2.87   3.05   2.80   2.83   2.85   3.42   3.08   3.17   2.97   3.04   3.02   2.23   2.23   2.58   2.43   2.63
  12  19.350   5.54   6.55   6.81   6.27   6.77   6.79   6.99   6.57   7.13   6.47   5.59   5.54   6.65   6.69   6.89   6.63   5.97   6.36   6.52   7.47   7.29   7.13   6.18   7.48   7.13   6.92   6.99   7.55   7.66   8.39
  13  22.235  -6.92  -6.90  -6.87  -6.76  -6.48  -6.19  -6.10  -6.74  -6.93  -7.04  -7.03  -6.91  -5.63  -5.41  -4.93  -5.52  -5.63  -5.35  -5.71  -4.94  -4.77  -5.01  -5.34  -5.15  -4.89  -5.03  -5.19  -5.18  -4.60  -4.26
